code,name,market_cap,rank
AAPL,Apple Inc,7.08684,1
MSFT,Microsoft Corporation,5.876654,2
AMZN,Amazoncom Inc,3.23541,3
GOOGL,Alphabet Inc Class A,2.040568,4
TSLA,Tesla Inc,2.029399,5
GOOG,Alphabet Inc Class C,1.882454,6
BRK.B,Berkshire Hathaway Inc Class B,1.539699,7
UNH,UnitedHealth Group Incorporated,1.455584,8
NVDA,NVIDIA Corporation,1.340953,9
JNJ,Johnson and Johnson,1.337428,10
META,Meta Platforms Inc Class A,1.246399,11
XOM,Exxon Mobil Corporation,1.096711,12
V,Visa Inc Class A,1.055588,13
JPM,JPMorgan Chase and Co,1.004875,14
PG,Procter and Gamble Company,1.00206,15
HD,Home Depot Inc,0.935088,16
MA,Mastercard Incorporated Class A,0.88534,17
PFE,Pfizer Inc,0.850984,18
CVX,Chevron Corporation,0.84759,19
ABBV,AbbVie Inc,0.774626,20
LLY,Eli Lilly and Company,0.764919,21
KO,Coca-Cola Company,0.710267,22
BAC,Bank of America Corp,0.707809,23
COST,Costco Wholesale Corporation,0.696233,24
PEP,PepsiCo Inc,0.691274,25
MRK,Merck and Co Inc,0.676293,26
TMO,Thermo Fisher Scientific Inc,0.667833,27
AVGO,Broadcom Inc,0.627091,28
VZ,Verizon Communications Inc,0.593836,29
ABT,Abbott Laboratories,0.575015,30
ADBE,Adobe Incorporated,0.573234,31
DIS,Walt Disney Company,0.563005,32
CMCSA,Comcast Corporation Class A,0.560653,33
MCD,McDonalds Corporation,0.556149,34
WMT,Walmart Inc,0.552102,35
CSCO,Cisco Systems Inc,0.549445,36
CRM,Salesforce Inc,0.546352,37
ACN,Accenture Plc Class A,0.541241,38
DHR,Danaher Corporation,0.536092,39
QCOM,Qualcomm Incorporated,0.517906,40
INTC,Intel Corporation,0.492664,41
WFC,Wells Fargo and Company,0.486706,42
BMY,Bristol-Myers Squibb Company,0.46137,43
NEE,NextEra Energy Inc,0.459688,44
TXN,Texas Instruments Incorporated,0.455122,45
AMD,Advanced Micro Devices Inc,0.437944,46
PM,Philip Morris International Inc,0.43042,47
LIN,Linde plc,0.428591,48
NKE,NIKE Inc Class B,0.421563,49
RTX,Raytheon Technologies Corporation,0.419126,50
UPS,United Parcel Service Inc Class B,0.407492,51
T,ATandT Inc,0.401859,52
UNP,Union Pacific Corporation,0.394831,53
AMGN,Amgen Inc,0.389535,54
LOW,Lowes Companies Inc,0.379659,55
SPGI,SandP Global Inc,0.372403,56
INTU,Intuit Inc,0.364248,57
HON,Honeywell International Inc,0.363601,58
CVS,CVS Health Corporation,0.362156,59
MDT,Medtronic Plc,0.358743,60
AMT,American Tower Corporation,0.352111,61
ORCL,Oracle Corporation,0.347519,62
MS,Morgan Stanley,0.344692,63
COP,ConocoPhillips,0.341271,64
IBM,International Business Machines Corporation,0.339305,65
GS,Goldman Sachs Group Inc,0.332736,66
ELV,Elevance Health Inc,0.331095,67
C,Citigroup Inc,0.302991,68
NFLX,Netflix Inc,0.294087,69
CAT,Caterpillar Inc,0.286411,70
PYPL,PayPal Holdings Inc,0.285281,71
SBUX,Starbucks Corporation,0.284353,72
SCHW,Charles Schwab Corp,0.282478,73
LMT,Lockheed Martin Corporation,0.277693,74
PLD,Prologis Inc,0.275201,75
NOW,ServiceNow Inc,0.273762,76
AMAT,Applied Materials Inc,0.272859,77
AXP,American Express Company,0.27179,78
ADP,Automatic Data Processing Inc,0.271035,79
BLK,BlackRock Inc,0.26925,80
BA,Boeing Company,0.266322,81
DE,Deere and Company,0.262684,82
ADI,Analog Devices Inc,0.256793,83
ZTS,Zoetis Inc Class A,0.252374,84
MDLZ,Mondelez International Inc Class A,0.25191,85
CI,Cigna Corporation,0.250725,86
ISRG,Intuitive Surgical Inc,0.239355,87
DUK,Duke Energy Corporation,0.236505,88
MMC,Marsh and McLennan Companies Inc,0.23619,89
TMUS,T-Mobile US Inc,0.232821,90
CB,Chubb Limited,0.231324,91
MO,Altria Group Inc,0.230726,92
GILD,Gilead Sciences Inc,0.226453,93
MMM,3M Company,0.226369,94
CCI,Crown Castle International Corp,0.222275,95
SO,Southern Company,0.222177,96
TJX,TJX Companies Inc,0.222095,97
GE,General Electric Company,0.221616,98
BKNG,Booking Holdings Inc,0.220482,99
CME,CME Group Inc Class A,0.218856,100
TGT,Target Corporation,0.217674,101
VRTX,Vertex Pharmaceuticals Incorporated,0.214826,102
MU,Micron Technology Inc,0.210204,103
